nom,snmpcontact,dns,iosv,ip,modele,marque
Tour_2000_6_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.10.62,Catalyst 356048 PS,Cisco,
Tour_2000_8_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.10.81,Catalyst 356048 PS,Cisco,
Tour_2000_8_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.10.82,Catalyst 356048 PS,Cisco,
Tour_2000_8_21.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.10.83,Catalyst 356048 PS,Cisco,
Tour_2000_8_22.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.10.84,Catalyst 356048 PS,Cisco,
Tour_2000_8_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.254.8,Catalyst 37xx Stack,Cisco,
Tour_Guyenne_ES_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.2.10.1,Catalyst 356048 PS,Cisco,
Tour_Guyenne_1_11.rzo-cub,,,"12.2(55)SE10, RELEASE SOFTWARE (fc2)",10.2.10.11,Cisco Catalyst 29xxStack,Cisco,
Tour_Guyenne_ES_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.2.10.12,Catalyst 356048 PS,Cisco,
Tour_Guyenne_2_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.2.10.21,Catalyst 356048 PS,Cisco,
Tour_Guyenne_3_11.rzo-cub,,,"12.2(55)SE7, RELEASE SOFTWARE (fc1)",10.2.10.31,Cisco Catalyst 29xxStack,Cisco,
Tour_Guyenne_5_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.2.10.51,Catalyst 356048 PS,Cisco,
Tour_Guyenne_5_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.2.10.52,Catalyst 356048 PS,Cisco,
Tour_Guyenne_5_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.2.254.8,Catalyst 37xx Stack,Cisco,
Latule_LTI_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.11,Catalyst 356048 PS,Cisco,
Latule_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.12,Catalyst 356048 PS,Cisco,
Latule_LTA_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.13,Catalyst 356048 PS,Cisco,
Latule_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.14,Catalyst 356024 PS,Cisco,
Latule_LTC_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.15,Catalyst 356048 PS,Cisco,
Latule_LTD_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.16,Catalyst 356048 PS,Cisco,
Latule_LTF_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.17,Catalyst 356048 PS,Cisco,
Latule_LTH_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.18,Catalyst 356048 PS,Cisco,
Latule_LTG_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.19,Catalyst 356024 PS,Cisco,
Latule_LTH_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.10.82,Catalyst 356024 PS,Cisco,
Latule_LTE_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.5.254.8,Catalyst 37xx Stack,Cisco,
Circ2_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.12.10.11,Catalyst 356048 PS,Cisco,
Circ2_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.12.10.12,Catalyst 356024 PS,Cisco,
Circ2_LTC_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.12.10.13,Catalyst 356024 PS,Cisco,
CGEP2_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.12.254.8,Catalyst 37xx Stack,Cisco,
Circ3_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.13.10.12,Catalyst 356024 PS,Cisco,
Circ3_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.13.254.8,Catalyst 37xx Stack,Cisco,
Circ4_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.14.10.11,Catalyst 356048 PS,Cisco,
Circ4_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.14.10.21,Catalyst 356024 PS,Cisco,
Circ4_LTC_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.14.10.31,Catalyst 356024 PS,Cisco,
Circ4_LTD_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.14.10.41,Catalyst 356024 PS,Cisco,
CGEP4_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.14.254.8,Catalyst 37xx Stack,Cisco,
Circ5_LTA_11.rzo-cub,,,"12.2(55)SE11, RELEASE SOFTWARE (fc3)",10.15.10.11,Catalyst 356048 PS,Cisco,
CGEP5_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.15.254.8,Catalyst 37xx Stack,Cisco,
Circ6_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.16.10.11,Catalyst 356048 PS,Cisco,
Circ6_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.16.10.12,Catalyst 356024 PS,Cisco,
CGEP6_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.16.254.8,Catalyst 37xx Stack,Cisco,
Circ8_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.18.254.8,Catalyst 37xx Stack,Cisco,
Circ9_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.19.10.11,Catalyst 356048 PS,Cisco,
Circ9_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.19.10.12,Catalyst 356024 PS,Cisco,
Circ9_LTA_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.19.10.13,Catalyst 356048 PS,Cisco,
CGEP9_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.19.254.8,Catalyst 37xx Stack,Cisco,
Signalisation_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.10.11,Catalyst 356048 PS,Cisco,
Signalisation_LTA_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.10.12,WS-C3560V2-48PS,Cisco,
Signalisation_LTA_13.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.10.13,Catalyst 356024 PS,Cisco,
Signalisation_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.10.21,Catalyst 356024 PS,Cisco,
Signalisation_LTC_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.10.31,Catalyst 356048 PS,Cisco,
Signalisation_LTC_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.10.32,Catalyst 356048 PS,Cisco,
Signalisation_Magasin.rzo-cub,,,"12.2(55)SE7, RELEASE SOFTWARE (fc1)",10.21.10.33,Catalyst 356024 PS,Cisco,
Signalisation_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.21.254.8,Catalyst 37xx Stack,Cisco,
Le_haillan_lta_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.11,Catalyst 356048 PS,Cisco,
Le_haillan_lta_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.12,Catalyst 356048 PS,Cisco,
Le_haillan_lta_13.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.13,Catalyst 356048 PS,Cisco,
DT_Ouest_LTA_21.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.21,Catalyst 356048 PS,Cisco,
Le_haillan_lta_22.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.22,Catalyst 356048 PS,Cisco,
Le_haillan_lta_23.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.23,Catalyst 356024 PS,Cisco,
Le_haillan_ltc_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.31,Catalyst 356048 PS,Cisco,
Le_haillan_ltd_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.41,Catalyst 356048 PS,Cisco,
Le_haillan_ltd_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.10.42,Catalyst 356024 PS,Cisco,
Le_Haillan_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.22.254.8,Catalyst 37xx Stack,Cisco,
DT_Rive_Droite_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.23.10.11,Catalyst 356048 PS,Cisco,
DT_Rive_Droite_LTA_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.23.10.12,Catalyst 356048 PS,Cisco,
DT_Rive_Droite_LTA_21.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.23.10.21,Catalyst 356048 PS,Cisco,
DT_Rive_Droite_LTA_22.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.23.10.22,Catalyst 356048 PS,Cisco,
GW_3845_Latule.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.5.0.250,Cisco 3845,Cisco,
Tour_Aquitaine_4_13.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.43,Catalyst 356024 PS,Cisco,
Tour_Aquitaine_4_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.41,Catalyst 356048 PS,Cisco,
Tour_Aquitaine_4_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.42,Catalyst 356048 PS,Cisco,
Tour_Aquitaine_5_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.52,Catalyst 356048 PS,Cisco,
Tour_Aquitaine_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.254.8,Catalyst 37xx Stack,Cisco,
Tour_Aquitaine_5_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.51,Catalyst 356048 PS,Cisco,
Tour_Aquitaine_1_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.12,Catalyst 356024 PS,Cisco,
Tour_Aquitaine_1_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.11,Catalyst 356048 PS,Cisco,
Tour_Aquitaine_1_21.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.21,Catalyst 356048 PS,Cisco,
Tour_Aquitaine_1_22.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.3.10.22,Catalyst 356048 PS,Cisco,
GW_3845_Circ6.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.16.5.250,Cisco 3845,Cisco,
GW_3845_Circ1.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.11.5.250,Cisco 3845,Cisco,
GW_3845_Circ2.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.12.5.250,Cisco 3845,Cisco,
GW_3845_Circ9.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.19.5.250,Cisco 3845,Cisco,
GW_3845_Circ5.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.15.5.250,Cisco 3845,Cisco,
GW_3845_Circ4.rzo-cub,,,"12.4(15)T7, RELEASE SOFTWARE (fc3)",10.14.5.250,Cisco 3845,Cisco,
GW_3845_Circ3.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.13.5.250,Cisco 3845,Cisco,
GW_3845_Circ8.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.18.5.250,Cisco 3845,Cisco,
GW_3845_DT_RIVE_DROITE.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.23.5.250,Cisco 3845,Cisco,
GW_3845_DT_OUEST.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.22.5.250,Cisco 3845,Cisco,
GW_3845_Begles.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.6.5.250,Cisco 3845,Cisco,
GW_3845_Signalisation.rzo-cub,,,"15.1(4)M6, RELEASE SOFTWARE (fc2)",10.21.5.250,Cisco 3845,Cisco,
Catalyst 6513,,,"15.0(1)SY2, RELEASE SOFTWARE (fc4)",10.100.254.8,Cisco WSC 6513,Cisco,
Catalyst 6807,,,"15.1(2)SY7, RELEASE SOFTWARE (fc4)",10.100.254.7,Cisco Catalyst 6807-XL Switch,Cisco,
vm-admbx,,vm-admbx.mbx.fr,6.3 (Build 9600 Multiprocessor Free),172.26.12.125,Windows 2012 R2 Server,Windows,
SW-MAT-Stendhal-84,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.25.84.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PALAIS-SPORT,,,08.0.30dT211 Compiled on Nov  3 2015 at 21:50:36 labeled as SPS08030d,172.20.251.166,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PALAIS-SPORT-CAMERA,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.20.251.167,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PALAIS-SPORT-TERRAIN1,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.20.251.178,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PTM-Latule-Sono-C12,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.20.251.149,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PESSAC-JFERRY-M.ecoles.internetpublic.fr,,,9.6(1),172.25.199.150,Cisco,Cisco,
SW-PESSAC-JFERRY-M,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.199.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Creche des Douves,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.207.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Creche Benauge,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.215.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PESSAC-BELLEGRAVE-M.ecoles.internetpublic.fr,,,9.6(1),172.25.194.150,Cisco,Cisco,
PESSAC-GLEYGUES-M.ecoles.internetpublic.fr,,,9.6(1),172.25.196.150,Cisco,Cisco,
PESSAC-JCURIE-M.ecoles.internetpublic.fr,,,9.6(2),172.25.198.150,Cisco,Cisco,
PESSAC-LECOLOMBIER-M.ecoles.internetpublic.fr,,,9.6(1),172.25.201.150,Cisco,Cisco,
PESSAC-LEMONTEIL-M.ecoles.internetpublic.fr,,,9.6(1),172.25.202.150,Cisco,Cisco,
PESSAC-LEPONTET-M.ecoles.internetpublic.fr,,,9.6(1),172.25.203.150,Cisco,Cisco,
PESSAC-MONTESQUIEU-M.ecoles.internetpublic.fr,,,9.6(1),172.25.205.150,Cisco,Cisco,
PESSAC-RDORGELES-M.ecoles.internetpublic.fr,,,9.6(1),172.25.207.150,Cisco,Cisco,
SW-PESSAC-GLEYGUES,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.196.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-PESSAC-JCURRIE,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.198.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-PESSAC-LECOLOMBIER,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.201.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-PESSAC-LEMONTEIL,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.202.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-PESSAC-RDORGELES,,,,172.25.207.220,Unknown,Unknown,
SW-PESSAC-MONTESQUIEU,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.205.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-PESSAC-LEPONTET,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.203.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PESSAC-LAFARANDOLE-M.ecoles,,,9.6(1),172.25.200.150,Cisco,Cisco,
SW-MAT-FARENDOLE-PESSAC,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.25.200.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PESSAC-ALOUETTE-M.ecoles.internetpublic.fr,,,9.6(1),172.25.193.150,Cisco,Cisco,
SW-PESSAC-ALOUETTE,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.193.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Lycée Horticole-ASA,LTxxxx-ADSL-LB-OBS-8M,,8.4(1),172.25.98.150,Cisco ASA 5505,Cisco,
PESSAC-FMAURIAC-M.ecoles.internetpublic.fr,,,9.6(1),172.25.195.150,Cisco,Cisco,
SW-PESSAC-MAURIAC,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.25.195.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-OBS-MAT-Lac4-87,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.25.87.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-2-GSC-Achard-36,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.25.36.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PESSAC-PAPE-CLEMENT-M.ecoles.internetpublic.fr,,,9.6(1),172.25.206.150,Cisco,Cisco,
SW-PESSAC-PAPE-CLEMENT,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.25.206.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Vaclav-Havel,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.251.188,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-BIB-LAC-1,admin@aerohive.com,,,192.168.24.168,HiveAP 20,Aerohive,
Parc-Floral,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.166.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Routeur_Merignac,,,"15.3(3)M6, RELEASE SOFTWARE (fc1)",192.168.47.145,Cisco 3945K9,Cisco,
Routeur_Begles,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.33,Cisco 2951K9,Cisco,
Routeur_Ambares,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.1,Cisco 2951K9,Cisco,
Routeur_Blanquefort,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.41,Cisco 2951K9,Cisco,
Routeur_Bruges,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.57,Cisco 2951K9,Cisco,
Routeur_Floirac,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.89,Cisco 2951K9,Cisco,
Routeur_LEBOUSCAT,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.105,Cisco 2951K9,Cisco,
Routeur_Le_Taillan,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.121,Cisco 2951K9,Cisco,
Routeur_Lormont,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.129,Cisco 2951K9,Cisco,
Routeur_Pessac,,,"15.3(3)M6, RELEASE SOFTWARE (fc1)",192.168.47.161,Cisco 3945K9,Cisco,
Routeur_St_Aubin,,,"15.5(3)M, RELEASE SOFTWARE (fc1)",192.168.47.169,Cisco 2951K9,Cisco,
WLC_5508_cluster,,6.30.103.10.rev.sfr.net,,10.103.30.6,Cisco 5500 Series Wireless Controller,Cisco,
Circ7_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.11,Catalyst 356048 PS,Cisco,
Circ7_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.21,Catalyst 356048 PS,Cisco,
Circ7_LTC_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.31,Catalyst 356024 PS,Cisco,
Circ7_LTD_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.41,Catalyst 356024 PS,Cisco,
Circ7_LTF_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.51,Cisco Catalyst 3560-8PC,Cisco,
old_CGEP7_LTE_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.111,Catalyst 356024 PS,Cisco,
CGEP7_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.40.10.254,Catalyst 37xx Stack,Cisco,
RPA-Alfred-Smith,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.36.226,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Gymnase Armagnac,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.251.209,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CRECHE-ARC-EN-CIEL,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.190.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CRE-ARMAND-FAULAT,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.185.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW_CRECHE_ARGENTIERS,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.157.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Palo Alto 3050-MAS,dip.soc@bordeaux-metropole.fr,,,192.168.3.142,Palo Alto Networks,Palo Alto Networks,
Palo Alto 3050-SER,dip.soc@bordeaux-metropole.fr,,,192.168.3.143,Palo Alto Networks,Palo Alto Networks,
Palo Alto 5060-MAS,dip.soc@bordeaux-metropole.fr,,,192.168.3.242,Palo Alto Networks,Palo Alto Networks,
Palo Alto 5060-SER,dip.soc@bordeaux-metropole.fr,,,192.168.3.243,Palo Alto Networks,Palo Alto Networks,
SW-CRECHE-BARREYRE,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.163.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CRECHE-CHARTRONS,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.183.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CRECHE-CLAVEAU,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.184.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Labb_Grand_Parc,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.121.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PTM-Algeco-EspaceVert,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.53,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
wks-04808.mbx.fr annex BDX SUD test pc,,wks-05893.mbx.fr,,172.20.153.29,Unknown,Unknown,
SW-CRECHE-ST-CITE-ADMIN,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.188.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CRECHE-ST-AUGUSTIN,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.186.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CRECHE-GEORGES-V,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.197.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Badgeuse-PTM-Espaces Verts,,,,172.20.3.244,Unknown,Unknown,
Bat_bas_Info_TP1.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.252,Catalyst 37xx Stack,Cisco,
Hotel_Restaurant_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.1,Catalyst 356048 PS,Cisco,
Hotel_Autocom_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.2,Catalyst 356048 PS,Cisco,
Bat_Bas_Roulemonpool.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.4,Cisco Catalyst 3560-8PC,Cisco,
Hotel_1_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.12,Catalyst 356048 PS,Cisco,
Hotel_1_13.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.13,Catalyst 356024 PS,Cisco,
hotel_1_14.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.14,Catalyst 356048 PS,Cisco,
Tour_Deploiement_Tel.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.16,Catalyst 356048 PS,Cisco,
